judul,caption,hashtag,kategori,platform,wilayah,tanggal
Kimmy dengan gombalan maut nya 👀 #kimmyjkt48 #jkt48newera #f,Kimmy dengan gombalan maut nya 👀 #kimmyjkt48 #jkt48newera #foryou #jkt48edit #fyp,#kimmyjkt48 #jkt48newera #foryou #jkt48edit #fyp,Hiburan Viral,TikTok,Indonesia,2026-01-25
anak orang ampe terdiam gitu toy🤣🤣 #christyjkt48 #angelinach,anak orang ampe terdiam gitu toy🤣🤣 #christyjkt48 #angelinachristy #michiejkt48 #michellealexandra #fyp,#christyjkt48 #angelinachristy #michiejkt48 #michellealexandra #fyp,Hiburan Viral,TikTok,Indonesia,2026-01-25
HEII ITU SIAPA YANG NGOMONG😠 #ondahjkt48 #onieljkt48 #indahj,HEII ITU SIAPA YANG NGOMONG😠 #ondahjkt48 #onieljkt48 #indahjkt48 #jkt48fight #fyppage,#ondahjkt48 #onieljkt48 #indahjkt48 #jkt48fight #fyppage,Hiburan Viral,TikTok,Indonesia,2026-01-25
gen 7 ngerusuh🤧 #gen7jkt48 #lastshowgraciajkt48  #luckyseven,gen 7 ngerusuh🤧 #gen7jkt48 #lastshowgraciajkt48  #luckyseven,#gen7jkt48 #lastshowgraciajkt48 #luckyseven,Hiburan Viral,TikTok,Indonesia,2026-01-25
This part 💅🏻 @Naissa Deinara #textywithmybestie #girlset #li,This part 💅🏻 @Naissa Deinara #textywithmybestie #girlset #littlemiss #dancechallenge,# #textywithmybestie #girlset #littlemiss #dancechallenge,Hiburan Viral,TikTok,Indonesia,2026-01-25
cieee yg jadi GC 😘😘  #delynnjkt48 #jkt48 #fyp #foryoupage,cieee yg jadi GC 😘😘  #delynnjkt48 #jkt48 #fyp #foryoupage,#delynnjkt48 #jkt48 #fyp #foryoupage,Hiburan Viral,TikTok,Indonesia,2026-01-25
Beginilah kalo gen 12 dikasih inti terlalu OP jujur izinn😭🙏🏻,Beginilah kalo gen 12 dikasih inti terlalu OP jujur izinn😭🙏🏻 #lanajkt48 #jkt48edit #jkt48newera #gen12jkt48 #fyp,#lanajkt48 #jkt48edit #jkt48newera #gen12jkt48 #fyp,Hiburan Viral,TikTok,Indonesia,2026-01-25
Selesaikan masa lalu mu dulu! #fyp #viraltiktok #seru,Selesaikan masa lalu mu dulu! #fyp #viraltiktok #seru,#fyp #viraltiktok #seru,Hiburan Viral,TikTok,Indonesia,2026-01-25
"M10. Finland Miracle || ""The First Snow"" JKT48 14th Annivers","M10. Finland Miracle || ""The First Snow"" JKT48 14th Anniversary Concert & Gracia Graduation Ceremony (20-12-2025)  #jessijkt48 #jkt48thefirstsnow #fjkt48 #jkt48newera #fyp",#jessijkt48 #jkt48thefirstsnow #fjkt48 #jkt48newera #fyp,Hiburan Viral,TikTok,Indonesia,2026-01-25
hayolo di tagih😭🤣#onieljkt48 #indahjkt48 #fypシ゚ #fypp #fyp,hayolo di tagih😭🤣#onieljkt48 #indahjkt48 #fypシ゚ #fypp #fyp,#onieljkt48 #indahjkt48 #fypシ゚ #fypp #fyp,Hiburan Viral,TikTok,Indonesia,2026-01-25
🍅 : bungsu lu noh nangis #freyajkt48 #muthejkt48 #elijkt48 #,🍅 : bungsu lu noh nangis #freyajkt48 #muthejkt48 #elijkt48 #firstsnowjkt48 #fyp,#freyajkt48 #muthejkt48 #elijkt48 #firstsnowjkt48 #fyp,Hiburan Viral,TikTok,Indonesia,2026-01-25
fresha 🤏🤏 #freyajkt48 #marshajkt48 #delynnjkt48,fresha 🤏🤏 #freyajkt48 #marshajkt48 #delynnjkt48,#freyajkt48 #marshajkt48 #delynnjkt48,Hiburan Viral,TikTok,Indonesia,2026-01-25
ngga nyangka di notice@oursis #viralsound #hijab #oursis #fo,ngga nyangka di notice@oursis #viralsound #hijab #oursis #follow #like,# #viralsound #hijab #oursis #follow #like,Hiburan Viral,TikTok,Indonesia,2026-01-25
Mommy n dedee 😵🔥 #erinejkt48 #trishajkt48 #escapejkt48 #fypp,Mommy n dedee 😵🔥 #erinejkt48 #trishajkt48 #escapejkt48 #fyppppppppppppppppppppppp,#erinejkt48 #trishajkt48 #escapejkt48 #fyppppppppppppppppppppppp,Hiburan Viral,TikTok,Indonesia,2026-01-25
diangkat dedekk😖   #graciajkt48 #christyjkt48 #jkt48 #highsc,diangkat dedekk😖   #graciajkt48 #christyjkt48 #jkt48 #highschoolfest,#graciajkt48 #christyjkt48 #jkt48 #highschoolfest,Hiburan Viral,TikTok,Indonesia,2026-01-25
telat join trend🤓#fyp #trend #kacamata #fypシ #fypppppppppppp,telat join trend🤓#fyp #trend #kacamata #fypシ #fyppppppppppppppppppppppp,#fyp #trend #kacamata #fypシ #fyppppppppppppppppppppppp,Hiburan Viral,TikTok,Indonesia,2026-01-25
pose buat oniel dari mommy😭🤣 #indahjkt48 #onieljkt48 #fypシ゚ ,pose buat oniel dari mommy😭🤣 #indahjkt48 #onieljkt48 #fypシ゚ #fypp #fyp,#indahjkt48 #onieljkt48 #fypシ゚ #fypp #fyp,Hiburan Viral,TikTok,Indonesia,2026-01-25
HBD Jemima #jemimajkt48 #jkt48 #jkt48newera #fyp,HBD Jemima #jemimajkt48 #jkt48 #jkt48newera #fyp,#jemimajkt48 #jkt48 #jkt48newera #fyp,Hiburan Viral,TikTok,Indonesia,2026-01-25
buset senyum ke cepio kah😍🤭 Freya :😉🥰 #freyajkt48 #fionyjkt4,buset senyum ke cepio kah😍🤭 Freya :😉🥰 #freyajkt48 #fionyjkt48  #pokemon,#freyajkt48 #fionyjkt48 #pokemon,Hiburan Viral,TikTok,Indonesia,2026-01-25
"FRESHA selucu ini emang,  Freya : tembak aku Marsha😭 @Matcha","FRESHA selucu ini emang,  Freya : tembak aku Marsha😭 @Matcha🍵 #fresha #freyaajkt48 #marshajkt48🍵 #jkt48newera",# #fresha #freyaajkt48 #marshajkt48🍵 #jkt48newera,Hiburan Viral,TikTok,Indonesia,2026-01-25
tante #fyp #trend #smile,tante #fyp #trend #smile,#fyp #trend #smile,Hiburan Viral,TikTok,Indonesia,2026-01-25
Template terlucu tahun inii😍 #gameboy #lucu #cute #fyp,Template terlucu tahun inii😍 #gameboy #lucu #cute #fyp,#gameboy #lucu #cute #fyp,Hiburan Viral,TikTok,Indonesia,2026-01-25
dc terbaru nih asik banget 🤙🏻 #velocity #danceterbaru #slowm,dc terbaru nih asik banget 🤙🏻 #velocity #danceterbaru #slowmopatahpatah #trendingtiktok2026 #trendingvideo,#velocity #danceterbaru #slowmopatahpatah #trendingtiktok2026 #trendingvideo,Hiburan Viral,TikTok,Indonesia,2026-01-25
asikkksksk #velocity #velocitytrend #trending #dctrend #07,asikkksksk #velocity #velocitytrend #trending #dctrend #07,#velocity #velocitytrend #trending #dctrend #07,Hiburan Viral,TikTok,Indonesia,2026-01-25
yukkk langsung di coba trendnyaaa  #trendingvidio #dancetikt,yukkk langsung di coba trendnyaaa  #trendingvidio #dancetiktok #trendingtiktok2026 #foryoupage #fypシ,#trendingvidio #dancetiktok #trendingtiktok2026 #foryoupage #fypシ,Hiburan Viral,TikTok,Indonesia,2026-01-25
delynn sama gracie mah gak perlu tes DNA lagi emng cocok jad,"delynn sama gracie mah gak perlu tes DNA lagi emng cocok jadi adek kakak 😭 gracie,michie,delynn anaknya fresha 😹@Matcha🍵 @jkt48.delynn @Grace Octaviani #fresha #freyaajkt48 #marshajkt48🍵 #graciejkt48 #delynnjkt48",# # # #fresha #freyaajkt48 #marshajkt48🍵 #graciejkt48 #delynnjkt48,Hiburan Viral,TikTok,Indonesia,2026-01-25
#up #new #lewatberanda #fypage,#up #new #lewatberanda #fypage,#up #new #lewatberanda #fypage,Hiburan Viral,TikTok,Indonesia,2026-01-25
#viral #fyp #xyzabc #orangimut##draft,#viral #fyp #xyzabc #orangimut##draft,#viral #fyp #xyzabc #orangimut #draft,Hiburan Viral,TikTok,Indonesia,2026-01-25
Mamanya ungu bgt🤭 #marshajkt48 #graciejkt48 #fyp #lewatberan,Mamanya ungu bgt🤭 #marshajkt48 #graciejkt48 #fyp #lewatberanda,#marshajkt48 #graciejkt48 #fyp #lewatberanda,Hiburan Viral,TikTok,Indonesia,2026-01-25
selfcare time🫧 #bodywash #bodycare #elumor,selfcare time🫧 #bodywash #bodycare #elumor,#bodywash #bodycare #elumor,Hiburan Viral,TikTok,Indonesia,2026-01-25
"dcnya asik nih, kapan kita coba? #foryoupage❤️❤️ #trendingvi","dcnya asik nih, kapan kita coba? #foryoupage❤️❤️ #trendingvideo #dancetiktok #lewatberanda #fyppppppppppppppppppppppp",#foryoupage❤️❤️ #trendingvideo #dancetiktok #lewatberanda #fyppppppppppppppppppppppp,Hiburan Viral,TikTok,Indonesia,2026-01-25
love the lippie 😍✨ #beautytips #fyp,love the lippie 😍✨ #beautytips #fyp,#beautytips #fyp,Hiburan Viral,TikTok,Indonesia,2026-01-25
delynn😭😭  #trishajkt48 #jemimajkt48 #delynnjkt48 #jkt48 #for,delynn😭😭  #trishajkt48 #jemimajkt48 #delynnjkt48 #jkt48 #foryou,#trishajkt48 #jemimajkt48 #delynnjkt48 #jkt48 #foryou,Hiburan Viral,TikTok,Indonesia,2026-01-25
sedih bgt woe agit😔,sedih bgt woe agit😔,,Hiburan Viral,TikTok,Indonesia,2026-01-25
